货号,货名,店销数量,外联销售数量,总销售数量,定价,出版日期,版别,出版社,MC_R3 分类,MC,库存,上一次进货日
9789620434587,轻松学汉语（第三版）简体课本一,0,50,50,43.68,2015/1/27,集团版,三联书店(香港)有限公司,对外汉语学习,中文书,104,2024/12/25
9789620434655,轻松学汉语（第三版）简体练习册一,0,50,50,31.2,2015/1/27,集团版,三联书店(香港)有限公司,对外汉语学习,中文书,96,2024/12/25
2221131105220,无纺布手提袋,44,0,44,0.5,, 文具版,,环保袋,非书类,380,2025/6/15
2221131106050,结婚请帖,40,0,40,1.39,, 文具版,,结婚咭,非书类,231,2025/6/15
2221131073116,Apartment Lease  (T186),22,0,22,5.5,, 文具版,,账簿／租约,非书类,25,2025/5/13
2570238,故事会,17,0,17,2,, 国版,上海文艺出版社,消闲杂志 \ 其他,中文书,0,2025/7/24
6948209100012,曹素功油烟书画墨汁100克,11,5,16,7,, 文具版,,墨汁,非书类,42,2025/4/28
2221131003960,单支国画颜料 (12ml),15,0,15,2.25,, 文具版,,中国画颜料,非书类,2784,2024/8/29
6972404664611,国风文字胶套笔记本,13,0,13,1.3,, 文具版,,日记簿,非书类,17,2025/6/15
10051805,读者,10,0,10,3.3,, 国版,,文学杂志,中文书,0,2025/7/24
10093567,兵器（杂志）,10,0,10,6,2010/6/15, 国版,兵器杂志社,武器杂志,中文书,0,2025/7/24
1003255X,民间故事选刊,10,0,10,3,, 国版,民间故事选刊杂志社,消闲杂志 \ 其他,中文书,0,2025/7/24
9789620434662,轻松学汉语（第三版）简体练习册二,0,10,10,31.2,2015/1/27,集团版,三联书店(香港)有限公司,对外汉语学习,中文书,72,2024/8/31
9789620434594,轻松学汉语（第三版）简体课本二,0,10,10,43.68,2015/1/27,集团版,三联书店(香港)有限公司,对外汉语学习,中文书,40,2024/8/31
2221131090861,加厚宣纸软卡内圆形外麻内白（24*27cm）,9,0,9,11,, 文具版,,宣纸,非书类,50,2025/6/15
9789620437021,轻松学汉语（第三版）繁体课本五,0,9,9,59.28,2016/12/12,集团版,三联书店(香港)有限公司,对外汉语学习,中文书,0,2024/8/31
2221131104629,大号红包封(6个),9,0,9,2.5,, 文具版,,礼封／红包袋,非书类,283,2025/6/15
6948209100036,曹素功高级油烟书画墨汁250克,8,0,8,12,, 文具版,,墨汁,非书类,17,2023/8/21
16724054,兵工科技 (半月刊）,8,0,8,7.5,, 国版,兵工科技杂志社,武器杂志,中文书,0,2025/7/24
10079076,民间传奇故事,7,0,7,3.2,, 国版,民间传奇故事杂志社,消闲杂志 \ 其他,中文书,0,2025/7/24
6972404664604,古风励志文字A5笔记本,6,0,6,1,, 文具版,,日记簿,非书类,14,2025/6/15
2221131014782,五毛毽子(大),6,0,6,2.75,, 文具版,,其他体育用品,非书类,101,2025/2/20
2221131086598,安徽加厚A级特净四尺宣（五张）,5,0,5,10,, 文具版,,宣纸,非书类,59,2024/9/23
10004912,兵器知识,5,0,5,6.2,, 国版,<兵器知识>杂志社,武器杂志,中文书,0,2025/7/24
4891081190010,#1153 Writing Exercise,5,0,5,1,, 文具版,,格仔簿,非书类,0,2024/12/25
